carat,cut,color,clarity,table,x,y,z,price_new
0.33,Premium,G,VS1,59,4.49,4.43,2.74,427
0.33,Ideal,G,VS1,56,4.47,4.44,2.75,427
0.33,Premium,G,VS1,61,4.48,4.44,2.68,427
0.33,Ideal,G,VS1,55,4.48,4.44,2.74,427
0.33,Ideal,G,VS1,54,4.48,4.44,2.74,427
0.33,Ideal,G,VS1,56,4.48,4.44,2.76,427
0.33,Ideal,G,VS1,54,4.47,4.42,2.76,427
0.33,Premium,G,VS1,59,4.45,4.43,2.7,427
0.33,Premium,G,VS1,59,4.45,4.43,2.75,427
0.33,Ideal,G,VS1,56,4.45,4.43,2.77,427
0.33,Ideal,G,VS1,56,4.45,4.42,2.74,427
0.33,Premium,G,VS1,58,4.46,4.42,2.72,427
0.33,Premium,G,VS1,60,4.46,4.41,2.73,427
0.33,Premium,G,VS1,59,4.47,4.41,2.77,427
0.33,Premium,G,VS1,58,4.45,4.42,2.72,427
0.33,Premium,G,VS1,58,4.45,4.41,2.76,427
0.33,Ideal,G,VS1,55,4.44,4.41,2.74,427
0.33,Ideal,G,VS1,57,4.45,4.41,2.73,427
0.33,Ideal,G,VS1,56,4.42,4.4,2.74,427
0.33,Ideal,G,VS1,56,4.42,4.4,2.74,427
0.33,Premium,G,VS1,59,4.45,4.39,2.73,427
0.33,Premium,G,VS1,58,4.42,4.39,2.74,427
0.33,Premium,G,VS1,58,4.44,4.39,2.72,427
0.33,Premium,G,VS1,59,4.42,4.36,2.72,427
0.33,Very Good,G,VS1,57,4.4,4.38,2.77,427
0.33,Premium,G,VS1,58,4.41,4.38,2.76,427
0.33,Ideal,G,VS1,57,4.42,4.38,2.74,427
0.33,Ideal,G,VS1,57,4.43,4.38,2.77,427
0.33,Premium,F,VS2,58,4.5,4.45,2.74,427
0.33,Ideal,F,VS2,54,4.49,4.47,2.74,427
0.33,Ideal,F,VS2,56,4.46,4.44,2.74,427
0.33,Premium,F,VS2,58,4.47,4.44,2.71,427
0.33,Premium,F,VS2,58,4.47,4.45,2.68,427
0.33,Ideal,F,VS2,55,4.47,4.45,2.77,427
0.33,Ideal,F,VS2,57,4.48,4.45,2.74,427
0.33,Ideal,F,VS2,55,4.46,4.43,2.75,427
0.33,Ideal,F,VS2,54,4.46,4.43,2.76,427
0.33,Ideal,F,VS2,56,4.46,4.43,2.77,427
0.33,Ideal,F,VS2,55,4.47,4.42,2.77,427
0.33,Ideal,F,VS2,57,4.42,4.4,2.73,427
0.33,Ideal,F,VS2,55,4.42,4.4,2.76,427
0.33,Ideal,F,VS2,56,4.45,4.41,2.76,427
0.33,Premium,F,VS2,57,4.44,4.42,2.74,427
0.33,Premium,F,VS2,59,4.44,4.39,2.74,427
0.33,Premium,F,VS2,57,4.43,4.39,2.75,427
0.34,Premium,F,VS2,59,4.55,4.51,2.71,427
0.39,Premium,G,SI1,57,4.77,4.7,2.92,427
0.33,Premium,F,VS2,58,4.41,4.37,2.74,427
0.33,Premium,F,VS2,59,4.45,4.4,2.75,427
0.33,Ideal,F,VS2,55,4.48,4.45,2.75,427
0.33,Ideal,D,VS2,54,4.46,4.43,2.77,427.5
0.33,Ideal,D,VS2,55,4.52,4.5,2.72,427.5
0.39,Very Good,G,VS1,57,4.62,4.68,2.9,427.5
0.39,Premium,G,VS1,58,4.66,4.7,2.93,427.5
0.39,Very Good,H,VVS2,58,4.63,4.65,2.88,427.5
0.4,Ideal,G,SI1,55,4.76,4.81,2.92,427.5
0.5,Good,I,SI2,56,4.91,5.01,3.24,427.5
0.4,Ideal,H,SI1,57,4.7,4.66,2.93,427.5
0.4,Premium,H,SI1,58,4.72,4.68,2.94,427.5
0.4,Ideal,H,SI1,56,4.74,4.68,2.92,427.5
0.38,Premium,G,SI1,62,4.71,4.67,2.79,427.5
0.38,Premium,G,SI1,60,4.72,4.65,2.81,427.5
0.38,Premium,G,SI1,59,4.64,4.59,2.88,427.5
0.4,Premium,D,SI2,58,4.84,4.8,2.89,427.5
0.4,Good,I,VS2,54,4.72,4.68,3,427.5
0.4,Premium,H,SI1,58,4.69,4.65,2.93,427.5
0.4,Premium,H,SI1,59,4.69,4.67,2.94,427.5
0.4,Premium,H,SI1,62,4.73,4.7,2.93,427.5
0.4,Premium,E,SI2,58,4.74,4.7,2.97,427.5
0.4,Premium,E,SI2,59,4.75,4.7,2.9,427.5
0.4,Ideal,E,SI2,55,4.77,4.74,2.91,427.5
0.4,Very Good,E,SI2,57,4.68,4.66,2.95,427.5
0.4,Premium,E,SI2,59,4.69,4.66,2.94,427.5
0.4,Premium,E,SI2,57,4.74,4.68,2.89,427.5
0.4,Premium,D,SI2,58,4.76,4.73,2.9,427.5
0.4,Premium,D,SI2,60,4.78,4.74,2.85,427.5
0.4,Premium,D,SI2,59,4.83,4.8,2.91,427.5
0.4,Premium,D,SI2,58,4.73,4.71,2.92,427.5
0.4,Premium,D,SI2,58,4.75,4.71,2.94,427.5
0.4,Premium,D,SI2,58,4.73,4.69,2.94,427.5
0.4,Premium,D,SI2,58,4.74,4.69,2.91,427.5
0.4,Premium,D,SI2,60,4.75,4.69,2.93,427.5
0.4,Ideal,D,SI2,56,4.73,4.7,2.96,427.5
0.4,Premium,D,SI2,59,4.74,4.68,2.9,427.5
0.4,Very Good,D,SI2,56,4.73,4.67,2.98,427.5
0.38,Very Good,J,VVS2,56,4.62,4.56,2.91,427.5
0.38,Premium,G,SI1,61,4.66,4.62,2.85,427.5
0.38,Ideal,G,SI1,56,4.67,4.63,2.85,427.5
0.38,Ideal,G,SI1,57,4.65,4.62,2.89,427.5
0.38,Ideal,G,SI1,56,4.71,4.68,2.86,427.5
0.46,Fair,I,VS2,55,4.82,4.77,3.2,427.5
0.4,Ideal,H,SI1,56,4.7,4.65,2.94,427.5
0.33,Very Good,D,VVS2,56,4.44,4.48,2.76,428
0.34,Ideal,F,VS2,55,4.54,4.52,2.78,428
0.53,Ideal,J,SI2,54,5.2,5.23,3.23,428
0.37,Ideal,D,VVS2,56,4.56,4.64,2.87,428.5
0.3,Ideal,F,VVS1,56,4.3,4.34,2.69,428.5
0.3,Ideal,F,VVS1,56,4.33,4.35,2.68,428.5
0.3,Ideal,F,VVS1,56,4.26,4.29,2.67,428.5
0.3,Ideal,H,SI1,56,4.35,4.37,2.65,232.5
0.3,Ideal,H,SI1,56,4.3,4.32,2.67,232.5
0.23,Good,E,VVS2,60,3.95,4.03,2.47,232.5
0.31,Premium,J,SI1,59,4.32,4.28,2.66,232.5
0.31,Very Good,J,SI1,55,4.33,4.3,2.74,232.5
0.31,Premium,J,SI1,60,4.38,4.36,2.66,232.5
0.31,Premium,J,SI1,59,4.32,4.29,2.7,232.5
0.29,Very Good,H,VVS2,54,4.23,4.26,2.64,233
0.32,Ideal,I,VS2,55,4.39,4.41,2.74,233
0.32,Ideal,I,VS2,54,4.43,4.45,2.73,233
0.32,Ideal,I,VS2,53,4.42,4.45,2.75,233
0.25,Very Good,H,VVS2,54,3.98,4.02,2.52,233.5
0.25,Very Good,H,VVS1,56,4.07,4.1,2.51,233.5
0.28,Ideal,H,VS2,54,4.2,4.22,2.63,233.5
0.28,Ideal,H,VS2,55,4.2,4.23,2.61,233.5
0.41,Good,G,I1,56,4.7,4.74,3.01,233.5
0.3,Premium,E,SI2,62,4.31,4.28,2.64,234
0.31,Very Good,I,VS2,56,4.36,4.39,2.69,234
0.23,Very Good,D,VS1,56,3.93,3.98,2.46,234
0.31,Ideal,J,VVS2,56.1,4.31,4.33,2.68,234
0.32,Premium,J,SI1,59,4.41,4.37,2.73,234
0.32,Good,D,I1,54,4.36,4.33,2.78,234
0.39,Premium,H,SI2,58,4.51,6.02,4.44,234
0.23,Very Good,F,VVS2,63,4.04,4.08,2.36,234
0.26,Ideal,H,IF,57,4.12,4.16,2.53,234
0.26,Very Good,H,VVS1,58,4.08,4.11,2.56,234
0.26,Very Good,H,VVS2,58,4.04,4.07,2.53,234
0.26,Ideal,H,VVS1,56,4.11,4.16,2.53,234
0.26,Premium,H,VVS1,59,4.12,4.17,2.48,234
0.26,Good,H,VVS2,58,4.04,4.08,2.57,234
0.3,Ideal,F,VVS1,55,4.32,4.35,2.68,428.5
0.3,Ideal,F,VVS1,53,4.3,4.32,2.68,428.5
0.3,Ideal,F,VVS1,54,4.34,4.36,2.69,428.5
0.43,Ideal,H,VS2,55,4.96,4.89,2.99,428.5
0.39,Ideal,G,VS2,54,4.67,4.7,2.93,428.5
0.3,Ideal,D,VS2,57,4.34,4.36,2.65,428.5
0.3,Ideal,E,VS1,55,4.34,4.36,2.68,428.5
0.4,Fair,F,SI1,58,4.67,4.63,3.01,428.5
0.4,Good,E,SI1,57,4.68,4.66,3,428.5
0.36,Very Good,G,VVS2,56,4.68,4.73,2.8,429
0.3,Very Good,F,VVS1,61,4.39,4.42,2.56,429
0.4,Very Good,E,VS2,59,4.7,4.75,2.97,429
0.32,Ideal,D,VVS2,54,4.4,4.4,2.74,429
0.33,Ideal,G,VVS1,55,4.45,4.5,2.77,429
0.34,Ideal,F,VVS1,57,4.55,4.58,2.79,429
0.37,Ideal,E,VS1,54,4.6,4.65,2.86,429
0.36,Good,F,VVS1,63,4.46,4.51,2.8,429
0.29,Ideal,E,VVS2,55,4.27,4.25,2.64,429
0.29,Ideal,F,VVS1,57,4.32,4.29,2.62,429
0.29,Ideal,E,VVS1,55,4.22,4.2,2.64,429
0.43,Ideal,H,SI1,57,4.83,4.77,2.98,429
0.43,Very Good,E,SI2,57,4.82,4.77,3.04,429
0.43,Good,E,SI2,55,4.83,4.8,3.06,429
0.43,Very Good,D,SI2,57,4.81,4.78,3.04,429
0.43,Very Good,D,SI2,57,4.82,4.79,3.04,429
0.43,Very Good,D,SI2,59,4.81,4.8,3.03,429
0.31,Very Good,F,VVS1,56,4.37,4.4,2.69,429.5
0.33,Very Good,F,VVS1,56,4.41,4.44,2.74,429.5
0.46,Very Good,F,SI2,55,4.98,5.02,3.08,429.5
0.35,Very Good,G,VVS1,57,4.5,4.53,2.79,429.5
0.35,Ideal,H,IF,54,4.53,4.55,2.8,429.5
0.36,Premium,E,VVS2,59,4.52,4.56,2.8,429.5
0.4,Ideal,G,VS2,58,4.68,4.72,2.92,429.5
0.32,Ideal,E,VVS1,55,4.42,4.45,2.69,430
0.39,Premium,F,SI1,62,4.71,4.68,2.88,430
0.39,Premium,E,SI1,59,4.81,4.76,2.83,430
0.4,Very Good,G,VS1,54.8,4.71,4.76,2.98,430.5
0.48,Ideal,J,VS1,54,5.01,5.06,3.13,430.5
0.33,Ideal,G,IF,56,4.39,4.44,2.77,430.5
0.41,Ideal,G,SI1,56,4.77,4.75,2.96,430.5
0.41,Very Good,G,SI1,57,4.73,4.7,2.99,430.5
0.41,Premium,G,SI1,58,4.74,4.72,2.97,430.5
0.3,Very Good,E,VVS1,57,4.27,4.3,2.66,431
0.3,Very Good,E,VVS1,56,4.26,4.27,2.67,431
0.3,Very Good,E,VVS1,57,4.37,4.39,2.65,431
0.42,Ideal,I,VVS2,54,4.78,4.8,3.01,431
0.3,Ideal,E,VVS1,57,4.28,4.31,2.67,431
0.3,Ideal,E,VVS1,57,4.32,4.34,2.65,431
0.3,Ideal,E,VVS1,57,4.27,4.3,2.68,431
0.3,Ideal,E,VVS1,57,4.27,4.29,2.66,431
0.3,Ideal,E,VVS1,58,4.28,4.3,2.66,431
0.3,Ideal,E,VVS1,57,4.27,4.3,2.66,431
0.3,Ideal,E,VVS1,56,4.28,4.3,2.68,431
0.3,Ideal,E,VVS1,55,4.31,4.32,2.69,431
0.3,Ideal,E,VVS1,58,4.28,4.31,2.65,431
0.39,Ideal,F,VS2,58,4.78,4.81,2.84,431
0.36,Ideal,F,VS1,56,4.65,4.69,2.8,431
0.32,Ideal,D,VS1,56,4.41,4.43,2.72,431
0.35,Ideal,D,VS1,57,4.58,4.61,2.76,431
0.33,Ideal,I,IF,56,4.46,4.49,2.74,431
0.42,Premium,D,SI2,59,4.83,4.78,2.98,431
0.34,Premium,H,VVS1,58,4.51,4.48,2.75,431
0.31,Ideal,D,VS1,57,4.35,4.33,2.69,431.5
0.43,Very Good,G,VS2,56,4.77,4.8,3.01,431.5
0.37,Very Good,F,VS1,65,4.68,4.71,2.75,431.5
0.3,Very Good,D,VS1,55,4.37,4.4,2.63,431.5
0.3,Very Good,D,VS1,55,4.31,4.35,2.68,431.5
0.3,Very Good,G,IF,56,4.27,4.29,2.68,431.5
0.41,Very Good,F,VS2,57,4.73,4.76,2.98,431.5
0.41,Good,F,VS2,57,4.74,4.76,3,431.5
0.41,Ideal,F,VS2,57,4.76,4.79,2.99,431.5
0.41,Ideal,F,VS2,57,4.76,4.81,2.92,431.5
0.41,Premium,F,VS2,58,4.8,4.85,2.91,431.5
0.41,Very Good,I,VVS1,56,4.75,4.77,2.95,431.5
0.41,Ideal,F,VS2,56,4.8,4.83,2.94,431.5
0.41,Ideal,E,VS1,53,4.74,4.76,2.96,431.5
0.41,Premium,F,VS2,59,4.74,4.77,2.93,431.5
0.41,Premium,F,VS2,58,4.79,4.84,2.95,431.5
0.41,Ideal,F,VS2,57,4.73,4.78,2.98,431.5
0.41,Ideal,F,VS2,57,4.75,4.78,2.97,431.5
0.41,Ideal,F,VS2,56,4.8,4.81,2.92,431.5
0.41,Ideal,F,VS2,56,4.82,4.88,2.91,431.5
0.41,Very Good,F,VS2,56,4.75,4.77,2.97,431.5
0.41,Ideal,F,VS2,57,4.75,4.79,2.95,431.5
0.41,Ideal,F,VS2,56,4.74,4.76,2.94,431.5
0.41,Ideal,F,VS2,56,4.74,4.79,2.96,431.5
0.41,Very Good,F,VS2,58,4.75,4.81,2.99,431.5
0.41,Ideal,F,VS2,55,4.78,4.83,2.95,431.5
0.41,Ideal,I,VVS1,55,4.76,4.79,2.95,431.5
0.41,Premium,I,VVS1,59,4.75,4.81,2.94,431.5
0.41,Very Good,I,VVS1,61,4.79,4.84,2.88,431.5
0.41,Very Good,I,VVS1,57,4.78,4.82,2.97,431.5
0.41,Very Good,F,VS2,56,4.79,4.84,2.94,431.5
0.41,Ideal,I,VVS1,56,4.8,4.85,2.96,431.5
0.41,Ideal,F,VS2,56,4.72,4.78,2.98,431.5
0.41,Very Good,F,VS2,57,4.71,4.74,2.96,431.5
0.41,Premium,F,VS2,60,4.81,4.84,2.91,431.5
0.41,Ideal,F,VS2,56,4.76,4.79,2.95,431.5
0.41,Ideal,F,VS2,57,4.74,4.78,2.9,431.5
0.41,Ideal,F,VS2,56,4.78,4.8,2.96,431.5
0.41,Ideal,F,VS2,57,4.73,4.78,2.94,431.5
0.41,Very Good,F,VS2,58,4.69,4.73,2.96,431.5
0.34,Ideal,G,VVS1,55,4.54,4.56,2.79,431.5
0.34,Ideal,G,VVS1,54,4.49,4.52,2.79,431.5
0.34,Ideal,G,VVS1,53,4.49,4.53,2.8,431.5
0.34,Ideal,G,VVS1,56,4.5,4.55,2.79,431.5
0.3,Ideal,F,VVS1,56,4.34,4.45,2.66,431.5
0.31,Ideal,E,VVS1,56,4.36,4.38,2.67,431.5
0.36,Ideal,E,VS1,54.2,4.55,4.58,2.83,431.5
0.34,Ideal,H,IF,54,4.49,4.53,2.78,431.5
0.34,Ideal,H,IF,53,4.5,4.52,2.79,431.5
0.34,Ideal,H,IF,56,4.5,4.51,2.78,431.5
0.34,Ideal,H,IF,53,4.49,4.51,2.79,431.5
0.34,Ideal,H,IF,54,4.51,4.55,2.8,431.5
0.34,Ideal,H,IF,55,4.5,4.54,2.79,431.5
0.3,Ideal,G,IF,55,4.33,4.35,2.67,431.5
0.3,Ideal,G,IF,53,4.32,4.35,2.67,431.5
0.3,Ideal,G,IF,55,4.33,4.35,2.66,431.5
0.3,Ideal,G,IF,55,4.32,4.35,2.69,431.5
0.3,Ideal,G,IF,55,4.32,4.34,2.7,431.5
0.3,Ideal,G,IF,56,4.31,4.32,2.69,431.5
0.3,Ideal,G,IF,57,4.27,4.29,2.65,431.5
0.3,Ideal,G,IF,54,4.31,4.34,2.7,431.5
0.3,Ideal,G,IF,57,4.34,4.39,2.65,431.5
0.3,Ideal,G,IF,55,4.33,4.35,2.69,431.5
0.3,Ideal,G,IF,57,4.35,4.38,2.67,431.5
0.3,Ideal,G,IF,54,4.33,4.35,2.69,431.5
0.3,Ideal,G,IF,55,4.32,4.34,2.69,431.5
0.3,Ideal,G,IF,58,4.32,4.35,2.64,431.5
0.3,Ideal,G,IF,56,4.34,4.36,2.68,431.5
0.3,Ideal,G,IF,55,4.32,4.36,2.68,431.5
0.3,Ideal,G,IF,54,4.32,4.35,2.7,431.5
0.3,Ideal,G,IF,55,4.32,4.35,2.69,431.5
0.3,Ideal,G,IF,56,4.34,4.36,2.65,431.5
0.3,Ideal,G,IF,56,4.32,4.36,2.67,431.5
0.3,Ideal,G,IF,54,4.3,4.33,2.68,431.5
0.3,Ideal,G,IF,56,4.29,4.32,2.68,431.5
0.3,Ideal,G,IF,57,4.3,4.33,2.65,431.5
0.3,Ideal,G,IF,55,4.31,4.34,2.69,431.5
0.3,Ideal,G,IF,57,4.35,4.39,2.66,431.5
0.3,Ideal,G,IF,53,4.3,4.33,2.68,431.5
0.3,Ideal,G,IF,54,4.31,4.33,2.7,431.5
0.3,Ideal,G,IF,55,4.3,4.33,2.69,431.5
0.3,Ideal,G,IF,55,4.33,4.36,2.69,431.5
0.3,Ideal,G,IF,57,4.31,4.34,2.64,431.5
0.3,Ideal,G,IF,57,4.27,4.29,2.66,431.5
0.5,Premium,G,SI2,61,5.02,4.98,3.12,431.5
0.46,Premium,I,SI2,58,5.03,4.97,3.05,431.5
0.36,Ideal,E,VS2,57,4.61,4.56,2.8,432
0.32,Ideal,E,VVS2,56,4.39,4.43,2.75,432
0.32,Ideal,E,VVS2,55,4.41,4.44,2.72,432
0.31,Ideal,E,VVS2,55,4.42,4.45,2.7,432
0.31,Ideal,E,VVS2,55,4.34,4.37,2.67,432
0.31,Ideal,E,VVS2,54,4.38,4.39,2.72,432
0.31,Ideal,E,VVS2,56,4.38,4.39,2.68,432
0.31,Ideal,E,VVS2,57,4.39,4.41,2.65,432
0.31,Ideal,E,VVS2,54,4.33,4.35,2.69,432
0.31,Ideal,E,VVS2,54,4.34,4.36,2.69,432
0.46,Ideal,G,SI2,53,4.95,4.98,3.09,432
0.4,Premium,G,SI1,61,4.68,4.63,2.87,432
0.32,Premium,I,IF,58,4.45,4.41,2.67,432
0.32,Ideal,I,IF,54,4.47,4.44,2.71,432
0.32,Premium,I,IF,59,4.39,4.37,2.71,432
0.32,Ideal,I,IF,57,4.37,4.35,2.71,432
0.4,Premium,F,SI2,58,4.85,4.81,2.88,432
0.36,Very Good,H,IF,56,4.55,4.58,2.85,432.5
0.36,Very Good,H,IF,56,4.57,4.62,2.83,432.5
0.36,Very Good,H,IF,57,4.58,4.6,2.79,432.5
0.34,Ideal,D,VS1,56,4.51,4.56,2.76,432.5
0.42,Ideal,I,VVS1,57,4.84,4.88,2.94,432.5
0.31,Ideal,E,VVS1,56,4.38,4.42,2.69,432.5
0.31,Ideal,E,VVS1,56,4.36,4.39,2.69,432.5
0.31,Ideal,E,VVS1,55,4.35,4.38,2.68,432.5
0.31,Ideal,E,VVS1,56,4.38,4.4,2.69,432.5
0.31,Ideal,E,VVS1,61,4.4,4.43,2.66,432.5
0.38,Ideal,F,VS1,56,4.67,4.7,2.87,432.5
0.38,Ideal,F,VS1,54,4.65,4.68,2.89,432.5
0.39,Ideal,I,IF,56,4.73,4.75,2.88,432.5
0.41,Very Good,E,VS2,58,4.79,4.82,2.87,433
0.38,Ideal,E,VS1,55,4.63,4.67,2.89,433
0.3,Ideal,D,VVS1,57,4.3,4.35,2.69,433
0.38,Very Good,E,VS2,60,4.73,4.77,2.81,433
0.38,Very Good,E,VS2,58,4.67,4.72,2.83,433
0.38,Premium,E,VS2,59,4.63,4.67,2.89,433
0.38,Ideal,E,VS2,55,4.66,4.68,2.88,433
0.38,Very Good,E,VS2,58,4.66,4.7,2.83,433
0.38,Ideal,E,VS2,56,4.69,4.72,2.83,433
0.38,Premium,E,VS2,58,4.61,4.64,2.86,433
0.38,Very Good,E,VS2,62,4.65,4.74,2.84,433
0.39,Ideal,G,SI1,56,4.77,4.79,2.89,433
0.33,Premium,E,VS2,58,4.49,4.45,2.71,433
0.4,Very Good,F,VS2,56,4.66,4.68,2.97,433.5
0.43,Premium,G,VS2,59,4.86,4.91,2.97,433.5
0.43,Very Good,G,VS2,59,4.78,4.83,3.02,433.5
0.43,Very Good,G,VS2,60,4.88,4.93,2.9,433.5
0.43,Premium,H,VS1,58,4.75,4.81,2.98,433.5
0.43,Premium,G,VS2,59,4.83,4.86,2.96,433.5
0.43,Premium,G,VS2,58,4.84,4.9,2.98,433.5
0.43,Premium,G,VS2,58,4.83,4.86,2.97,433.5
0.43,Premium,H,VS1,59,4.86,4.98,2.95,433.5
0.43,Premium,G,VS2,58,4.81,4.85,3.01,433.5
0.43,Premium,G,VS2,58,4.84,4.88,2.97,433.5
0.32,Ideal,D,VVS2,55,4.4,4.44,2.71,433.5
0.32,Ideal,D,VVS2,55,4.39,4.41,2.73,433.5
0.32,Ideal,F,VVS1,56,4.41,4.43,2.72,433.5
0.32,Ideal,F,VVS1,55,4.42,4.46,2.74,433.5
0.32,Ideal,F,VVS1,55,4.38,4.43,2.72,433.5
0.32,Ideal,F,VVS1,56,4.46,4.48,2.71,433.5
0.32,Ideal,F,VVS1,56,4.37,4.41,2.72,433.5
0.4,Ideal,F,VS2,62,4.71,4.74,2.88,433.5
0.42,Good,I,VVS1,61,4.88,4.91,2.9,433.5
0.47,Premium,J,SI2,59,4.99,4.96,3.08,433.5
0.4,Very Good,G,VVS2,59,4.74,4.8,2.89,434
0.4,Very Good,G,VVS2,55,4.72,4.74,2.99,434
0.4,Very Good,D,VS2,59,4.71,4.77,2.88,434
0.4,Very Good,G,VS1,58,4.72,4.74,2.91,434
0.4,Very Good,F,VS1,58,4.75,4.79,2.88,434
0.4,Ideal,H,VVS2,55,4.75,4.78,2.91,434
0.33,Premium,H,IF,58,4.39,4.42,2.73,434
0.33,Ideal,G,VVS1,55,4.43,4.46,2.77,434
0.33,Premium,G,VVS1,60,4.46,4.5,2.73,434
0.33,Ideal,E,VVS2,57,4.45,4.47,2.73,434
0.33,Very Good,H,IF,59,4.47,4.49,2.7,434
0.33,Premium,G,VVS1,59,4.44,4.47,2.69,434
0.3,Premium,F,VVS1,59,4.24,4.28,2.64,434
0.33,Ideal,G,VVS1,54,4.47,4.48,2.76,434
0.33,Ideal,H,IF,55,4.42,4.44,2.74,434
0.33,Ideal,G,VVS1,56,4.45,4.48,2.77,434
0.3,Ideal,F,VVS1,56,4.28,4.31,2.68,434
0.33,Premium,E,VVS2,58,4.47,4.49,2.7,434
0.33,Premium,G,VVS1,58,4.4,4.43,2.74,434
0.33,Premium,H,IF,60,4.4,4.44,2.73,434
0.33,Premium,G,VVS1,59,4.38,4.41,2.72,434
0.33,Very Good,G,VVS1,60,4.42,4.44,2.71,434
0.33,Very Good,G,VVS1,60,4.39,4.44,2.71,434
0.33,Ideal,G,VVS1,56,4.42,4.46,2.7,434
0.33,Premium,G,VVS1,58,4.43,4.47,2.71,434
0.3,Ideal,F,VVS1,57,4.3,4.33,2.67,434
0.3,Premium,F,VVS1,59,4.26,4.29,2.64,434
0.33,Ideal,G,VVS1,56,4.45,4.47,2.75,434
0.33,Ideal,G,VVS1,56,4.45,4.48,2.77,434
0.33,Ideal,G,VVS1,57,4.41,4.46,2.76,434
0.3,Ideal,F,VVS1,55,4.31,4.32,2.68,434
0.33,Very Good,G,VVS1,59,4.38,4.44,2.77,434
0.33,Ideal,G,VVS1,56,4.45,4.46,2.74,434
0.33,Ideal,G,VVS1,55,4.42,4.45,2.74,434
0.33,Ideal,E,VVS2,57,4.41,4.44,2.73,434
0.33,Ideal,H,IF,55,4.41,4.44,2.75,434
0.35,Ideal,G,VVS1,56,4.58,4.6,2.79,434
0.43,Ideal,H,VS1,57,4.88,4.91,2.99,434
0.43,Ideal,H,VS1,57,4.81,4.84,3,434
0.4,Ideal,G,VS1,57,4.73,4.75,2.93,434
0.35,Ideal,H,IF,57,4.55,4.58,2.8,434
0.43,Very Good,E,VS2,58,4.81,4.87,3.01,434.5
0.44,Ideal,G,VS2,55,4.89,4.91,3.04,434.5
0.4,Good,F,SI1,59,4.67,4.64,2.96,434.5
0.36,Ideal,G,VS1,57,4.57,4.55,2.84,434.5
0.36,Premium,F,VS2,58,4.69,4.65,2.73,434.5
0.46,Ideal,E,SI2,56,4.96,5.02,3.06,435
0.4,Ideal,I,VVS1,53.7,4.72,4.74,2.95,435
0.38,Ideal,F,VS2,54,4.65,4.69,2.91,435
0.38,Ideal,F,VS2,54,4.64,4.66,2.89,435
0.41,Ideal,G,VS1,57,4.77,4.8,2.93,435
0.41,Ideal,F,SI1,56,4.79,4.83,2.94,435
0.52,Premium,F,I1,56,5.18,5.11,3.24,435
0.4,Ideal,G,SI2,56,4.82,4.76,2.91,435
0.4,Premium,G,SI1,60,4.85,4.82,2.87,435
0.38,Very Good,H,VS2,56,4.71,4.73,2.85,435.5
0.41,Very Good,D,VS2,56,4.69,4.74,3.01,435.5
0.4,Very Good,G,VS1,57,4.73,4.77,2.92,435.5
0.38,Very Good,D,VS2,62,4.6,4.63,2.84,435.5
0.38,Very Good,D,VS2,61,4.71,4.74,2.78,435.5
0.38,Very Good,D,VS2,61,4.72,4.77,2.79,435.5
0.38,Ideal,H,VS1,57,4.7,4.73,2.85,435.5
0.38,Very Good,F,VS1,58,4.71,4.73,2.84,435.5
0.38,Very Good,D,VS2,61,4.74,4.77,2.79,435.5
0.38,Good,D,VS2,55,4.63,4.67,2.95,435.5
0.38,Ideal,F,VS2,55,4.71,4.76,2.86,435.5
0.31,Ideal,E,VS1,55,4.37,4.39,2.7,435.5
0.31,Ideal,G,IF,55,4.39,4.42,2.69,435.5
0.31,Ideal,G,IF,56,4.31,4.34,2.69,435.5
0.31,Ideal,G,IF,56,4.33,4.37,2.71,435.5
0.31,Ideal,G,IF,56,4.34,4.36,2.71,435.5
0.31,Ideal,G,IF,56,4.33,4.35,2.68,435.5
0.31,Ideal,G,IF,54,4.4,4.41,2.71,435.5
0.31,Ideal,G,IF,57,4.38,4.42,2.68,435.5
0.31,Ideal,G,IF,55,4.37,4.39,2.7,435.5
0.31,Ideal,G,IF,58,4.37,4.41,2.67,435.5
0.43,Premium,F,SI2,57,4.88,4.83,3,435.5
0.43,Premium,F,SI2,60,4.91,4.85,2.94,435.5
0.43,Premium,F,SI2,59,4.91,4.88,2.96,435.5
0.5,Fair,E,SI2,56,4.87,4.75,3.3,435.5
0.36,Very Good,F,VVS2,55,4.58,4.6,2.83,436
0.32,Very Good,G,IF,55,4.37,4.4,2.75,436
0.51,Very Good,J,SI1,56,5.14,5.17,3.18,436
0.35,Ideal,F,VVS2,56,4.56,4.58,2.8,436
0.35,Ideal,F,VVS2,55,4.58,4.61,2.79,436
0.42,Ideal,F,VS2,55,4.79,4.82,2.98,436
0.37,Ideal,D,VS1,56,4.61,4.64,2.86,436
0.31,Ideal,F,VS1,56,4.35,4.32,2.69,436
0.34,Ideal,J,VS1,53.9,4.5,4.53,2.79,234.5
0.37,Ideal,J,SI1,57,4.62,4.66,2.85,234.5
0.34,Ideal,I,SI1,56,4.47,4.5,2.77,234.5
0.3,Ideal,G,SI1,54,4.29,4.32,2.68,234.5
0.27,Very Good,E,VS2,57,4.12,4.16,2.61,235
0.27,Very Good,E,VS2,57,4.07,4.11,2.58,235
0.27,Very Good,E,VS2,58,4.13,4.16,2.54,235
0.27,Very Good,E,VS2,56,4.2,4.31,2.53,235
0.27,Very Good,F,VS2,58,4.25,4.3,2.51,235
